epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,618.19,0.9025,0.99662,1.17816,0.4867,0.30923,0.31193,0.21295,1.51094,1.75049,1.72388,0.00015209,0.00015209,0.00015209
43,632.741,0.90438,1.01177,1.17122,0.44834,0.38216,0.30598,0.20198,1.52554,1.73928,1.75654,0.000149555,0.000149555,0.000149555
44,647.212,0.88557,0.98455,1.16157,0.50503,0.26508,0.3045,0.201,1.52368,1.74011,1.76255,0.000147021,0.000147021,0.000147021
45,661.92,0.88336,0.97906,1.16767,0.60553,0.27604,0.32291,0.21491,1.52167,1.66624,1.74259,0.000144486,0.000144486,0.000144486
46,676.429,0.86787,0.95864,1.15046,0.44677,0.33076,0.30701,0.20838,1.5313,1.67337,1.74625,0.000141952,0.000141952,0.000141952
47,690.984,0.87502,0.94612,1.15509,0.52086,0.30848,0.31007,0.20225,1.55208,1.71826,1.77607,0.000139418,0.000139418,0.000139418
48,705.763,0.8653,0.94618,1.15457,0.48046,0.3365,0.29355,0.18896,1.52793,1.72145,1.77322,0.000136883,0.000136883,0.000136883
49,720.343,0.86664,0.9338,1.15605,0.51636,0.3669,0.30334,0.19341,1.54365,1.74619,1.76825,0.000134349,0.000134349,0.000134349
50,735.04,0.88101,0.94307,1.15731,0.53775,0.2911,0.29224,0.19201,1.54149,1.63761,1.76534,0.000131814,0.000131814,0.000131814
51,749.731,0.86045,0.92896,1.1449,0.53334,0.26692,0.29437,0.1883,1.51553,1.69744,1.7704,0.00012928,0.00012928,0.00012928
52,764.246,0.87584,0.94922,1.15383,0.51723,0.37413,0.30461,0.19727,1.55832,1.68346,1.78382,0.000126746,0.000126746,0.000126746
53,779.125,0.876,0.93034,1.15307,0.51114,0.30453,0.3074,0.20436,1.51085,1.65461,1.7438,0.000124211,0.000124211,0.000124211
54,793.777,0.84373,0.88875,1.13666,0.47444,0.28612,0.28033,0.18928,1.51896,1.68781,1.75847,0.000121677,0.000121677,0.000121677
55,808.36,0.85825,0.90782,1.14201,0.50591,0.29915,0.27465,0.17832,1.55162,1.6953,1.79658,0.000119142,0.000119142,0.000119142
56,823.213,0.84018,0.89113,1.13525,0.51795,0.26973,0.28666,0.20147,1.55335,1.68755,1.8058,0.000116608,0.000116608,0.000116608
57,837.938,0.845,0.88037,1.12783,0.47831,0.37467,0.29631,0.20161,1.50606,1.70016,1.75788,0.000114074,0.000114074,0.000114074
58,852.644,0.84805,0.88991,1.13468,0.47373,0.31396,0.27801,0.18956,1.5022,1.66748,1.74609,0.000111539,0.000111539,0.000111539
59,867.208,0.83236,0.88933,1.12467,0.48613,0.35404,0.3006,0.20052,1.5296,1.67922,1.77539,0.000109005,0.000109005,0.000109005
60,881.653,0.82397,0.86973,1.12517,0.45879,0.33893,0.28951,0.19108,1.53997,1.70072,1.8001,0.00010647,0.00010647,0.00010647
61,896.331,0.8422,0.89219,1.14049,0.47948,0.40488,0.30865,0.21464,1.53707,1.7077,1.786,0.000103936,0.000103936,0.000103936
62,910.937,0.83291,0.87382,1.13149,0.4587,0.33908,0.29674,0.21171,1.52397,1.68474,1.77208,0.000101402,0.000101402,0.000101402
63,925.611,0.8219,0.86852,1.11926,0.45464,0.33231,0.28498,0.19508,1.53896,1.69546,1.79211,9.88672e-05,9.88672e-05,9.88672e-05
64,940.696,0.81698,0.84277,1.11532,0.44678,0.36212,0.28471,0.19328,1.54179,1.70552,1.78944,9.63328e-05,9.63328e-05,9.63328e-05
65,955.208,0.83133,0.85131,1.12258,0.4793,0.33703,0.28929,0.20186,1.54514,1.70295,1.78765,9.37984e-05,9.37984e-05,9.37984e-05
66,969.741,0.81144,0.85531,1.12406,0.49808,0.31923,0.27567,0.18739,1.52401,1.71744,1.77265,9.1264e-05,9.1264e-05,9.1264e-05
67,984.45,0.81945,0.84423,1.10952,0.47066,0.36777,0.2813,0.19008,1.52953,1.68945,1.78575,8.87296e-05,8.87296e-05,8.87296e-05
68,999.049,0.80491,0.82676,1.10443,0.43679,0.34023,0.27851,0.1925,1.51538,1.64722,1.77324,8.61952e-05,8.61952e-05,8.61952e-05
69,1013.81,0.79222,0.83318,1.10516,0.4946,0.32289,0.27162,0.18476,1.49242,1.67063,1.76588,8.36608e-05,8.36608e-05,8.36608e-05
70,1028.36,0.80032,0.81598,1.09648,0.4765,0.34505,0.27067,0.18612,1.53597,1.70347,1.80227,8.11264e-05,8.11264e-05,8.11264e-05
71,1043.03,0.80989,0.81685,1.10106,0.43891,0.29166,0.2731,0.1847,1.52512,1.67471,1.8036,7.8592e-05,7.8592e-05,7.8592e-05
72,1057.76,0.80489,0.81919,1.11149,0.45305,0.29796,0.26222,0.17737,1.53021,1.72679,1.80419,7.60576e-05,7.60576e-05,7.60576e-05
73,1072.34,0.80104,0.81348,1.10815,0.45964,0.326,0.27637,0.18633,1.50194,1.6604,1.77448,7.35232e-05,7.35232e-05,7.35232e-05
74,1087.16,0.79064,0.79336,1.09567,0.51203,0.27674,0.2893,0.19579,1.50065,1.67899,1.76845,7.09888e-05,7.09888e-05,7.09888e-05
75,1101.83,0.77976,0.79575,1.0878,0.45367,0.32748,0.30873,0.20633,1.50065,1.713,1.7686,6.84544e-05,6.84544e-05,6.84544e-05
76,1116.39,0.77787,0.80268,1.08826,0.38144,0.33564,0.31168,0.20807,1.53036,1.73083,1.80073,6.592e-05,6.592e-05,6.592e-05
77,1131.25,0.76964,0.78711,1.09362,0.40588,0.29694,0.28281,0.18636,1.50592,1.692,1.78978,6.33856e-05,6.33856e-05,6.33856e-05
78,1145.79,0.77101,0.80026,1.08714,0.34046,0.42037,0.32213,0.21654,1.48196,1.68493,1.76585,6.08512e-05,6.08512e-05,6.08512e-05
79,1160.41,0.78424,0.80786,1.08699,0.45678,0.34645,0.32332,0.21736,1.51245,1.70553,1.79247,5.83168e-05,5.83168e-05,5.83168e-05
80,1175.35,0.77537,0.78317,1.08589,0.34276,0.38545,0.3193,0.21238,1.5298,1.6963,1.80248,5.57824e-05,5.57824e-05,5.57824e-05
81,1189.94,0.77304,0.79711,1.09249,0.30582,0.40443,0.3224,0.21605,1.52462,1.71746,1.78913,5.3248e-05,5.3248e-05,5.3248e-05
82,1204.7,0.80615,0.81062,1.10649,0.3519,0.40332,0.31158,0.20795,1.49847,1.69547,1.75489,5.07136e-05,5.07136e-05,5.07136e-05
83,1219.29,0.75777,0.76637,1.08471,0.39335,0.29612,0.2797,0.18299,1.49721,1.68363,1.75199,4.81792e-05,4.81792e-05,4.81792e-05
84,1233.89,0.76465,0.77761,1.08495,0.54232,0.24445,0.26971,0.17943,1.50461,1.6891,1.75997,4.56448e-05,4.56448e-05,4.56448e-05
